Rango de edad,¿Cuanto le gusta los siguientes tipos de visualización? [Visualizaciones estáticas (para imprimir)],¿Cuanto le gusta los siguientes tipos de visualización? [Visualizaciones interactivas (para usar el mouse y realizar acciones)],¿Cuanto le gusta los siguientes tipos de visualización? [Visualizaciones animadas (gift/videos)],¿Con cuantas visualizaciones se encuentra a la semana en los siguientes medios ? [Televisión],¿Con cuantas visualizaciones se encuentra a la semana en los siguientes medios ? [Redes Sociales],"¿Con cuantas visualizaciones se encuentra a la semana en los siguientes medios ? [Prensa Escrita (página de noticia, periodico)]","¿Con qué número asocia ""Una maraqueta""?
Link a la imagen",¿Estación del año favorita?,¿Cuantas películas o series has visto aproximadamente este año?,¿Cuantos libros/papers/mangas distintos has leido aproximadamente este año? No es necesario que los hayas terminado de leer,¿Cuanto es el máximo de completos que te has comido en un día?,¿Cuanto veces aproximadamente has salido de fiesta este año?,"El tamaño del círculo de la izquierda representa el valor 1, a medida que aumenta el tamaño (área), el valor es más grande. ¿Qué valor crees que representa el círculo de la derecha?","El largo de la barra de la izquierda representa el valor 1, a medida que aumenta el largo, el valor es más grande. ¿Qué valor crees que representa la barra de la derecha?","El color del circulo de la izquierda representa el valor 1, a medida que el color se vuelve más claro, el valor es más grande. ¿Qué valor crees que representa el círculo de la derecha?",¿A qué color asocia el curso de “Matemáticas” (piense en el forro de cuaderno del colegio)?,¿A qué color asocia el curso de “Lenguaje” (piense en el forro de cuaderno del colegio)?,Conteste un animal cualquiera,Conteste con otro animal que esté relacionado al que dijo en la pregunta anterior,Conteste con un tercer animal que esté relacionado al que dijo justo antes,Tienes hobbies ¿cuales?,Piense en una fecha que le guste,¿Qué país le gustaría visitar?,"Si tuviera que organizar una junta (de amigos, para ir al cine, de trabajo o cualquier tema) ¿A qué hora la haría?"
19 a 25 años,Me es indiferente,Me gustan demasiado,Me gustan demasiado,1 o 2,Más de 6,No uso este medio,4,Primavera,5,3,3,20,4,3,8,Naranjo,Azul,Conejo,Gato,Puma,Cocinar,31/10/1998,Alemania,6:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me es indiferente,Más de 6,Más de 6,1 o 2,4,Otoño,20,100,3,1,4,3,6,Azul,Rojo,Gato,leon,tigre,"videojuegos, leer y ver series",13/7/2022,Japón,7:00:00 p. m.
19 a 25 años,Me gustan demasiado,Me gusta,Me gusta,Más de 6,Más de 6,3 a 5,4,Verano,20,6,5,30,25,3,10,Rojo,Verde,Zorro,Lobo,Perro,Programar,5/1/2001,Maldivas,9:30:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,No uso este medio,Más de 6,Más de 6,4,Verano,2,0,2,20,5,3,10,Azul,Amarillo,Perro,Gato,Rata,tenis,8/8/2018,,8:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gustan demasiado,No uso este medio,Más de 6,No uso este medio,3,Otoño,10,68,3,3,4,3,3,Azul,Rojo,águila,loro,tucán,Videojuegos,3/10/1911,Japón,9:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Ninguna,Más de 6,Ninguna,3,Otoño,3,5,8,15,9,3,10,Rojo,Azul,carpincho,hamster,erizo,"Ver anime, deporte",21/4/2022,Dinamarca,8:00:00 p. m.
18 o menos años,Me gusta,Me gustan demasiado,Me gustan demasiado,No uso este medio,Más de 6,1 o 2,3,Invierno,30,10,2,10,3,3,-2,Rojo,Azul,Perro,Gato,pato,"Anime, manga, programar, escalada.",31/5/2016,Canadá,9:30:00 p. m.
19 a 25 años,Me es indiferente,Me gustan demasiado,Me gustan demasiado,1 o 2,Más de 6,No uso este medio,4,Primavera,25,2,0,5,10,8,20,Azul,Rojo,Perro,Lobo,hiena,,14/2/2022,Japón,3:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,Ninguna,Más de 6,1 o 2,4,Primavera,20,30,2,3,9,3,20,Rojo,,Conejo,Liebre,Tortuga,"Leer, crochet, huerto.",7/8/2022,Italia,5:00:00 p. m.
26 a 35 años,No tengo opinión,Me gusta,Me gusta,Ninguna,Más de 6,1 o 2,4,Otoño,50,3,2,16,3,3,5,Azul,Rojo,Ornitorrinco,Castor,Nutria,Hago ropa,3/10/2022,Irlanda,8:00:00 p. m.
51 o más años,Me es indiferente,Me gusta,Me gustan demasiado,1 o 2,Más de 6,3 a 5,4,Verano,30,28,3,4,10,3,9,Rojo,Azul,León,pantera,tigre de bengala,Deporte,24/12/2022,Japón,2:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,Más de 6,4,Primavera,25,4,6,10,5,3,2,Verde,Rojo,caracal,capivara,quebrantahuesos,"videojuegos, música, shitpostear en internet",14/9/1999,Egipto,8:00:00 p. m.
19 a 25 años,No tengo opinión,No tengo opinión,Me gustan demasiado,3 a 5,Más de 6,Más de 6,4,Primavera,25,7,5,30,5,3,4,Rojo,Azul,Miau,Grrr,Rawr,Cocinar,24/12/2019,Croacia,6:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gustan demasiado,Más de 6,Más de 6,3 a 5,4,Invierno,15,20,4,10,9,3,9,Azul,Rojo,Pulga de mar,Chungungo,Nutria,Yugioh,22/7/2022,Japón,3:00:00 p. m.
19 a 25 años,No tengo opinión,Me gustan demasiado,Me gustan demasiado,3 a 5,3 a 5,Más de 6,4,Verano,12,6,5,4,5,3,-4,Azul,Rojo,Gato,leon,guepardo,ir al gimnasio,21/2/2002,Alemania,9:00:00 a. m.
19 a 25 años,Me gusta,Me es indiferente,Me gusta,Ninguna,Más de 6,1 o 2,4,Otoño,12,1,5,10,9,3,9,Rojo,Azul,langosta,bacalao,caballa,Nadar y jugar lol,27/2/2010,Taiwan,8:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Más de 6,Más de 6,Más de 6,4,Verano,4,0,4,50,9,3,9,Rojo,Azul,León,tigre,Puma,"fútbol, trekking",18/9/2022,Italia,10:00:00 p. m.
19 a 25 años,Me es indiferente,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,No uso este medio,3,Otoño,8,0,3,20,15,12,8,Azul,Rojo,Perro,Gato,zorro,futbol,11/11/2022,islandia,8:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gusta,No uso este medio,3 a 5,1 o 2,3,Otoño,28,10,5,0,16,3,100,Azul,Rojo,Perro,Lobo,Zorro,"Ver series y peliculas, leer y jugar.",12/9/1997,Japón,6:30:00 p. m.
26 a 35 años,No tengo opinión,Me gustan demasiado,Me gusta,3 a 5,3 a 5,3 a 5,5,Primavera,8,3,3,4,4,3,4,Azul,Rojo,Perro,Gato,Rata,,9/8/2022,,7:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,No tengo opinión,Más de 6,Más de 6,No uso este medio,4,Otoño,18,3,5,5,4,3,5,Azul,Rojo,Gato,Puma,Tigre,"Videojuegos, dibujar, futbol",3/8/2022,España,5:00:00 a. m.
19 a 25 años,Me gustan demasiado,Me es indiferente,Me gusta,1 o 2,3 a 5,3 a 5,4,Otoño,5,8,3,6,8,3,6,Rojo,Verde,flamenco,grulla,garza,caminar,23/12/2022,Inglaterra,6:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gusta,Más de 6,Más de 6,Más de 6,4,Verano,12,2,5,30,8,3,5,Azul,Amarillo,caballo,vaca,gallina,deporte en general,11/6/2015,Italia,9:30:00 a. m.
36 a 50 años,Me gusta,Me gustan demasiado,Me gusta,Más de 6,Más de 6,Más de 6,3,Primavera,1,0,3,0,9,4,8,Azul,Rojo,Perro,Gato,Conejo,,31/12/2022,Holanda,8:00:00 p. m.
19 a 25 años,No tengo opinión,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,3 a 5,5,Invierno,10,4,5,7,15,3,2,Azul,Rojo,Ardilla,Gato,Rata,Programar,25/12/2022,Corea del sur,8:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gustan demasiado,Ninguna,Más de 6,No uso este medio,4,Otoño,25,200,3,3,7,3,5,Azul,Rojo,zorro,Lobo,Perro,"Escribir, dibujar, leer",25/3/2018,Corea del sur,4:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gusta,No uso este medio,Más de 6,No uso este medio,4,Verano,15,3,6,15,4,3,10,Rojo,Verde oscuro,Gato,Tigre,Puma,"Atletismo
Jugar computador
Ultimamente leer y programar también",18/8/1818,,7:15:00 p. m.
19 a 25 años,Me gustan demasiado,Me es indiferente,Me gusta,No uso este medio,Más de 6,3 a 5,3,Invierno,15,100,3,4,6,3,5,Rojo,Azul,pangolin,panda,panda Rojo,"leer manga, ver peliculas de artes marciales, hacer ejercicio (pensar en hacer ejercicio)",28/3/2001,China,5:00:00 p. m.
26 a 35 años,Me gusta,No me gusta,Me gustan demasiado,No uso este medio,Más de 6,1 o 2,4,Primavera,20,5,5,4,16,4,4,Rojo,Amarillo,Perro,Gato,Rata,"Ciclismo, trekking",18/9/2022,Sudáfrica,4:00:00 p. m.
26 a 35 años,Me es indiferente,Me es indiferente,Me gusta,Ninguna,Más de 6,Ninguna,4,Primavera,30,50,5,1,5,3,0,Rojo,Azul,Oso,Salmon,Gusano,"Videojuegos, cómics, animación",25/12/2022,Japón,6:00:00 p. m.
26 a 35 años,Me gustan demasiado,Me gustan demasiado,Me gustan demasiado,No uso este medio,Más de 6,1 o 2,4,Verano,30,8,3,26,10,3,5,Rojo,Naranjo,caballo,burro,mula,Patinar,28/6/1994,Italia,9:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me es indiferente,No uso este medio,Más de 6,No uso este medio,4,Primavera,20,10,3,2,10,3,6,Rojo,Azul,Gato,León,tigre,jugar videojuegos,19/9/2022,Japón,4:30:00 p. m.
19 a 25 años,Me es indiferente,Me gustan demasiado,Me gusta,No uso este medio,3 a 5,No uso este medio,3,Otoño,25,15,7,30,5,3,6,Azul,Rojo,chungungo,nutria,pez,Dormir,6/8/2019,Suiza,5:00:00 a. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Más de 6,Más de 6,1 o 2,4,Primavera,30,1,3,50,25,4,3,Azul,Rojo,Gato,tigre,leon,anime y videojuegos,8/8/2000,Chile,8:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me es indiferente,1 o 2,Más de 6,1 o 2,4,Otoño,25,125,3,12,6,3,5,Azul,Rojo,Hámster,Hurón,Rata,"Leer mangas/comics, dibujo, gaming.",22/10/2010,Japón,4:30:00 a. m.
19 a 25 años,No tengo opinión,Me gusta,Me gusta,1 o 2,3 a 5,1 o 2,4,No tengo estación favorita,3,40,1,5,8,5,7,Azul,Rojo,Mono,Gorila,orangutan,"Jugar videojuegos, leer manga",29/2/2024,,4:00:00 p. m.
26 a 35 años,No tengo opinión,Me gustan demasiado,Me gusta,No uso este medio,3 a 5,No uso este medio,3,Otoño,15,5,6,8,9,3,42069,Azul,Verde,nutria,pinguino,foca,programar,18/10/2019,francia,7:45:00 p. m.
19 a 25 años,Me gusta,Me gusta,No me gusta,No uso este medio,Más de 6,Más de 6,4,Primavera,50,30,3,50,4,3,8,Azul,Amarillo,panda Rojo,mapache,coatí,"Tejer, pintar, leer, tenis",27/10/2022,Italia,7:00:00 p. m.
19 a 25 años,Me es indiferente,Me gustan demasiado,Me gusta,1 o 2,1 o 2,1 o 2,4,Verano,20,100,4,15,8,8,8,Azul,Rojo,leon,tigre,Gato,"manga, lol, libros, hacer deporte",9/4/1999,finlandia,8:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,No uso este medio,3 a 5,No uso este medio,4,No tengo estación favorita,15,0,2,50,16,3,5,Verde,Rojo,Perro,Gato,Rata,Escalar,2/8/2022,España,5:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,No me gusta,1 o 2,3 a 5,3 a 5,3,Otoño,20,30,3,4,6,3,4,Azul,Rojo,jirafa,okapi,oso polar,juego lol,18/10/2022,Tailandia,2:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Ninguna,3 a 5,Ninguna,4,Primavera,2,2,2,10,9,3,7,Rojo,Azul,Perro,Gato,vaca,correr,14/10/2002,Italia,7:30:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,1 o 2,3 a 5,1 o 2,4,Primavera,5,6,4,0,5,3,4,Azul,Rojo,Gato,tigre,guepardo,Jugar videojuegos,12/1/2016,Nueva Zelanda,8:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,1 o 2,3 a 5,1 o 2,4,Verano,20,2,3,5,6,3,10,Azul,Rojo,tigre,leon,pantera,tocar la guitarra,25/12/2022,Inglaterra,1:13:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gustan demasiado,3 a 5,Más de 6,3 a 5,4,Otoño,20,2,3,10,9,3,50,Amarillo,Rojo,Oso,Leon,Tigre,"Pintar/dibujar, Cocinar y Jugar computador",5/10/2019,"EEUU, Alaska",9:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,No me gusta,3 a 5,3 a 5,Ninguna,3,Primavera,100,10,0,10,10,3,5,Azul,Rojo,Pantera,Leopardo,Puma,"Cocinar, pintar y hacer artesanías varias",18/9/2016,Italia,7:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Más de 6,Más de 6,3 a 5,4,Invierno,8,5,3,2,12,3,5,Azul,Rojo,tortuga,pez,camarón,ir al gym,24/12/2022,España,6:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,3 a 5,Más de 6,No uso este medio,3,Otoño,12,6,2,5,5,3,3,Verde,Rojo,Oso panda,Koala,Canguro,Básquetbol,31/10/2021,Italia,5:30:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,Más de 6,Más de 6,3 a 5,4,No tengo estación favorita,10,20,4,0,16,3,5,Azul,Rojo,Perro,Gato,Rata,,16/12/1972,Estados Unidos,5:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,No uso este medio,No uso este medio,Más de 6,4,No tengo estación favorita,10,5,4,1,10,3,2,Rojo,Amarillo,Rata,Gato,Perro,,27/6/2020,Italia,4:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,No uso este medio,3,Otoño,50,5,3,25,10,3,5,Azul,Rojo,tigre,leon,leopardo,cocinar,2/4/2022,belgica,7:00:00 p. m.
19 a 25 años,Me es indiferente,No tengo opinión,Me es indiferente,No uso este medio,Más de 6,No uso este medio,4,Invierno,20,15,4,9,10,3,5,Azul,Rojo,Nutria,Almeja,Pez,Manga,2/4/2022,Japón,7:30:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gustan demasiado,3 a 5,Más de 6,1 o 2,3,Invierno,20,3,8,13,4,3,5,Azul,Rojo,Pudú,chinchilla,zorro cumpeo,tocar piano y jugar volleybol,18/9/2018,méxico el 1 y 2 de noveimbre,8:00:00 p. m.
19 a 25 años,Me gusta,Me es indiferente,Me es indiferente,No uso este medio,Más de 6,No uso este medio,3,Primavera,4,0,1,50,7,3,50,Amarillo,Rojo,rana,sapo,pez,crochet,21/9/2022,Grecia,5:30:00 p. m.
19 a 25 años,No tengo opinión,Me gustan demasiado,Me gusta,1 o 2,Más de 6,No uso este medio,4,Otoño,20,1,4,30,9,3,5,Rojo,Azul,Tiburón,Orca,Mantarraya,"Escuchar Musica, videojuegos, deporte",13/12/1959,Inglaterra,6:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me es indiferente,Más de 6,Más de 6,Más de 6,4,Invierno,2,10,5,50,16,4,6,Amarillo,Rojo,Perro,Gato,caballo,Ajedre,23/9/2022,portugal,10:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,No uso este medio,3 a 5,No uso este medio,4,Primavera,10,0,4,10,6,3,4,Rojo,Azul,mono,gorila,chimpancé,jugar fútbol,18/9/2017,Holanda,4:20:00 a. m.
26 a 35 años,No tengo opinión,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,Más de 6,3,Verano,5,5,4,3,16,3,50,Rojo,Verde,delfín,orca,foca,Cantar,8/6/1995,Estonia,7:00:00 p. m.
36 a 50 años,Me gustan demasiado,Me gustan demasiado,Me gustan demasiado,No uso este medio,Más de 6,No uso este medio,5,Primavera,10,3,1,1,10,3,10,Rojo,Azul,Gato,Perro,Lobo,manualidades,9/5/0099,Alemania,8:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gustan demasiado,3 a 5,3 a 5,1 o 2,4,Otoño,15,5,5,2,4,3,7,Azul,Rojo,chungungo,nutria,carpincho,"ver anime, jugar videojuegos (lol, valorant, genshin impact), tocar batería y piano, leer manga",31/10/2022,Japón,3:00:00 p. m.
26 a 35 años,Me gustan demasiado,Me gusta,Me gustan demasiado,No uso este medio,Más de 6,No uso este medio,3,Verano,10,5,11,1,2,3,3,Azul,Rojo,Chinchilla,Conejo,Liebre,Hacer música,25/3/1995,El Salvador,5:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gusta,1 o 2,Más de 6,Ninguna,3,Invierno,10,10,4,15,3,3,7,Rojo,Azul,vaca,toro,bufalo,"Jogar muito, leer",11/8/2022,China,9:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,3 a 5,Más de 6,1 o 2,4,No tengo estación favorita,10,0,2,1,10,3,7,Azul,Rojo,jirafa,Elefante,cebra,,24/12/2022,Estados Unidos,5:30:00 p. m.
19 a 25 años,Me gusta,Me es indiferente,Me gusta,1 o 2,Más de 6,1 o 2,4,Primavera,6,25,4,8,4,3,4,Rojo,Naranjo,carpincho,Pudú,huemul,,9/7/2022,Japón,6:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,No uso este medio,Más de 6,No uso este medio,4,Primavera,2,5,3,1,5,3,5,Azul,Rojo,Lobo,Perro,Gato,"Hacer trecking, andar en bicicleta, los teclados y programar",2/9/2000,Dinamarca,7:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,1 o 2,Más de 6,3 a 5,4,Invierno,3,60,7,50,10,4,6,Azul,Rojo,Orca,Delfin,Ballena,Tiro con arco,4/8/1999,Suiza,8:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,No me gusta,No uso este medio,Más de 6,No uso este medio,4,Otoño,20,70,4,10,8,3,10,Verde,Rojo,Pingüino,Oso polar,Oso pardo,Tejer a crochet,14/4/2022,Rusia,6:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gustan demasiado,No uso este medio,Más de 6,Ninguna,3,Invierno,8,1,4,5,9,3,8,Azul,Rojo,Cabra,Chivo,Oveja,"Futbol, gym, videojuegos, cocinar",17/11/2018,Puerto rico,7:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gusta,Más de 6,Más de 6,Más de 6,4,Primavera,1,3,2,30,3,3,3,Azul,Rojo,Beluga,Foca,Ballena blanca,Tocar música,18/9/1810,Islandia y Escocia,10:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gusta,1 o 2,Más de 6,1 o 2,4,Primavera,20,15,3,25,10,3,5,Azul,Rojo,Gato,Tigre,León,Bordar,13/9/2022,Japón,5:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gustan demasiado,1 o 2,Más de 6,Más de 6,3,Primavera,12,0,6,20,4,3,3,Azul,Naranjo,Caracales,Gatos,Pumas,Comer,27/3/2002,España,7:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gustan demasiado,No uso este medio,Más de 6,1 o 2,4,Invierno,30,4,5,50,9,3,9,Rojo,Azul,Tigre,León,Antílope,Leer,12/6/2001,Japón,8:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gusta,1 o 2,Más de 6,No uso este medio,4,Primavera,25,10,3,2,4,3,4,Amarillo,Rojo,Perro,Gato,Rata,Bailar,12/2/2017,"Estados unidos, Reino Unido, Canada, Suecia",6:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Más de 6,Más de 6,Más de 6,4,Otoño,37,23,5,39,7,3,5,Azul,Rojo,marsopa,manatí,Lobo marino,tocar instrumentos,27/12/2022,Dinamarca,4:00:00 p. m.
19 a 25 años,Me gusta,No me gusta,Me gusta,1 o 2,3 a 5,Ninguna,4,Verano,25,4,6,15,9,3,4,Azul,Rojo,Tucán,Mono,Tigre,Subir cerros,18/11/2000,Noruega,8:15:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,3 a 5,Más de 6,1 o 2,4,Primavera,10,3,4,2,12,3,8,Azul,Rojo,Gato,Tigre,Puna,Piano,18/12/2003,Japón,8:00:00 p. m.
19 a 25 años,Me es indiferente,Me es indiferente,Me gusta,3 a 5,Más de 6,Ninguna,4,Primavera,56,0,3,20,3,3,5,Rojo,Amarillo,Leon,Tigre,Gato,Ver pelis,1/8/2001,Indonesia,4:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,No me gusta,No uso este medio,3 a 5,No uso este medio,3,Primavera,1,50,4,15,11,3,5,Rojo,Azul,manati,ballena,delfin,gym,20/4/1969,Papua y Nueva Guinea,5:00:00 p. m.
19 a 25 años,No tengo opinión,Me gustan demasiado,Me gustan demasiado,1 o 2,Más de 6,No uso este medio,4,No tengo estación favorita,5,8,6,12,4,3,6,Rojo,Naranjo,Pepino de mar,Estrella de mar,Erizo de mar,,10/7/2022,Sudáfrica,6:00:00 p. m.
19 a 25 años,No tengo opinión,Me es indiferente,Me es indiferente,Ninguna,Más de 6,1 o 2,3,Otoño,10,5,4,20,4,3,3,Rojo,Azul,Pingüino,Oso polar,Oso panda,No,19/1/2001,Italia,6:00:00 p. m.
19 a 25 años,No tengo opinión,Me gustan demasiado,Me gusta,3 a 5,Más de 6,1 o 2,4,Verano,10,6,4,30,4,3,5,Azul,Rojo,gatito,flopa,Puma,handball,18/10/0018,,2:00:00 p. m.
19 a 25 años,No tengo opinión,Me gusta,Me gustan demasiado,1 o 2,Más de 6,3 a 5,4,Primavera,7,4,9,15,10,5,3,Azul,Rojo,pez,tiburon,ballena,minecraft,31/12/2022,España,2:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Ninguna,Más de 6,1 o 2,4,Primavera,15,7,5,44,9,4,10,Rojo,Amarillo,Lobo,zorro,coyote,"cocinar, leer sobre animales y plantas, hacer trekking, aprender de la biodiversidad en general y de chile, ver anime, leer manga, salir de fiesta.",6/2/2022,Grecia,6:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,No uso este medio,3 a 5,3 a 5,4,Verano,4,3,4,16,20,3,5,Rojo,Verde,Carpincho,Coipo,Castor,Lol y senderismo,1/12/1999,Canadá,9:00:00 p. m.
19 a 25 años,Me es indiferente,Me gustan demasiado,Me gusta,No uso este medio,Más de 6,No uso este medio,4,Verano,15,2,4,17,8,3,32,Rojo,,cocodrilo,hipopotamo,girafa,deportes,24/8/2022,islandia,7:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me gustan demasiado,Más de 6,Más de 6,1 o 2,4,Primavera,12,20,3,30,5,4,6,Rojo,Azul,Perro,Gato,Rata,leer mangas,20/4/2022,España,10:00:00 p. m.
19 a 25 años,No tengo opinión,No tengo opinión,No tengo opinión,3 a 5,Más de 6,1 o 2,1,Verano,3,0,4,20,5,3,10,Azul,Rojo,Perro,Gato,Tigre,Compartir con mi círculo cercano,12/3/1999,Ibiza,9:30:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gusta,No uso este medio,Más de 6,No uso este medio,4,Primavera,6,1,5,10,9,3,8,Rojo,Azul,Panda,Oso,Oso pardo,Jugar voleibol,19/12/2000,Dubai,9:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gusta,Más de 6,Más de 6,No uso este medio,4,Verano,50,3,4,10,7,3,8,Celeste,Naranjo,leon,jaguar,tigre,,19/1/2022,Japón,5:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,No uso este medio,Más de 6,No uso este medio,4,Primavera,15,4,6,10,10,3,7,Rojo,Azul,Monito del monte,Canguro,Koala,"Andar en bici, hacer ejercicio, hacer malabares, hacer musica",3/12/1998,Australia,8:00:00 p. m.
19 a 25 años,No tengo opinión,Me gustan demasiado,Me gusta,3 a 5,Más de 6,1 o 2,4,Verano,15,10,3,30,6,3,3,Rojo,Azul,Perro,Gato,tigre,colo colo,31/12/2022,España,8:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gusta,Más de 6,Más de 6,No uso este medio,4,Verano,3,0,3,5,5,3,4,Rojo,Azul,Gato,Pantera,Guepardo,,2/2/1999,Italia,5:00:00 p. m.
19 a 25 años,Me es indiferente,No tengo opinión,No me gusta,Ninguna,Más de 6,Ninguna,4,Primavera,4,8,2,3,12,3,7,Rojo,Azul,Gato,Perro,Rata,"Tocar instrumentos, salir de viaje, fotografía, idiomas",14/11/2002,Alemania,8:00:00 p. m.
19 a 25 años,Me gustan demasiado,Me gustan demasiado,Me gusta,1 o 2,Más de 6,No uso este medio,4,Primavera,12,5,3,3,9,3,3,Rojo,Amarillo,tigre,leopardo,Puma,"canto, bailo, tejo y leo😶y ando en patines, juego padel y futbol",14/9/2022,Italia,7:00:00 p. m.
19 a 25 años,Me gusta,No tengo opinión,Me gusta,Ninguna,3 a 5,1 o 2,4,Otoño,20,45,3,10,5,3,4,Rojo,Amarillo,Lobo,Perro,Gato,"Bailar, leer",13/6/2013,Grecia,4:30:00 a. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,Más de 6,Más de 6,No uso este medio,4,Otoño,10,10,3,3,10,3,5,Azul,Rojo,Elefante,jirafa,leon,jugar futbol,7/1/2022,Grecia,8:00:00 p. m.
19 a 25 años,Me gusta,Me gusta,Me es indiferente,Ninguna,Más de 6,3 a 5,4,Verano,10,4,3,20,3,3,4,Verde,Amarillo,lagarto,cocodrilo,dragon de comodo,tocar la guitarra,21/9/2022,Egipto,6:00:00 p. m.
19 a 25 años,Me es indiferente,Me gusta,Me gustan demasiado,Más de 6,Más de 6,3 a 5,4,Otoño,6,20,3,20,16,3,100,Rojo,Azul,Vaca,Oveja,Gato,,11/11/2011,Holanda,6:00:00 p. m.
19 a 25 años,No me gusta,Me gustan demasiado,Me gusta,1 o 2,3 a 5,No uso este medio,4,Primavera,24,1,2,110,9,3,4,Azul,Rojo,Delfín,pez,estrella de mar,,18/7/1810,Egipto,5:00:00 p. m.
19 a 25 años,Me gusta,Me gustan demasiado,Me gustan demasiado,3 a 5,Más de 6,Más de 6,3,Otoño,10,5,3,30,4,3,3,Azul,Rojo,Perro,Gato,León,jugar play,12/8/1999,Noruega,9:00:00 p. m.
51 o más años,Me es indiferente,Me gusta,No me gusta,Ninguna,Más de 6,Más de 6,4,Invierno,15,20,2,0,10,10,10,ninguno,ninguno,colibrí,loica,pajaro carpintero,cocinar,3/11/2022,méxico,1:00:00 p. m.
26 a 35 años,Me gusta,Me gusta,Me gustan demasiado,No uso este medio,Más de 6,1 o 2,4,Primavera,5,7,1,0,5,3,5,Amarillo,Rojo,Perro,Gato,Tigre,Cocinar,25/11/2008,Francia,4:00:00 p. m.
19 a 25 años,Me gustan demasiado,Me gustan demasiado,Me gusta,1 o 2,Más de 6,1 o 2,4,Otoño,5,2,3,40,5,3,3,Rojo,Azul,tigre,leon,jirafa,,18/9/2018,Italia,9:00:00 p. m.
